,tp,fp,fn,recall,precision,f1,acc
equation,290.0,0.0,25.0,0.9206349206349206,1.0,0.9586776859504132,0.9206349206349206
apt32,120.0,0.0,0.0,1.0,1.0,1.0,1.0
winnti umbrella,0.0,1.0,0.0,0.0,0.0,0.0,0.0
comrat,0.0,3.0,0.0,0.0,0.0,0.0,0.0
morphisec labs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ups team,2.0,0.0,3.0,0.4,1.0,0.5714285714285715,0.4
tsar team,8.0,0.0,0.0,1.0,1.0,1.0,1.0
winnti group,213.0,0.0,0.0,1.0,1.0,1.0,1.0
popeye,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vboxdrv.sys v1.6.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cycldek apt,0.0,2.0,0.0,0.0,0.0,0.0,0.0
winnti and,0.0,1.0,0.0,0.0,0.0,0.0,0.0
uroburos,0.0,21.0,0.0,0.0,0.0,0.0,0.0
webmasters,0.0,0.0,12.0,0.0,0.0,0.0,0.0
fakem,0.0,5.0,0.0,0.0,0.0,0.0,0.0
blackfly,8.0,0.0,0.0,1.0,1.0,1.0,1.0
blackenergy <,0.0,1.0,0.0,0.0,0.0,0.0,0.0
­,0.0,1.0,0.0,0.0,0.0,0.0,0.0
details after,0.0,1.0,0.0,0.0,0.0,0.0,0.0
iechecker,0.0,1.0,0.0,0.0,0.0,0.0,0.0
buckeye,70.0,0.0,2.0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222
chrysene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cozyduke,0.0,2.0,0.0,0.0,0.0,0.0,0.0
blue coat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
command,0.0,4.0,0.0,0.0,0.0,0.0,0.0
checkpoint research,0.0,1.0,0.0,0.0,0.0,0.0,0.0
page,0.0,8.0,0.0,0.0,0.0,0.0,0.0
blackenergy,0.0,16.0,0.0,0.0,0.0,0.0,0.0
sednit,449.0,0.0,5.0,0.9889867841409692,1.0,0.9944629014396457,0.9889867841409692
fancy bear,77.0,0.0,0.0,1.0,1.0,1.0,1.0
monsoon,79.0,0.0,3.0,0.9634146341463414,1.0,0.9813664596273292,0.9634146341463414
the equation,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sogu,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dropping elephant,20.0,0.0,0.0,1.0,1.0,1.0,1.0
mummy spider,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vboxdrv.sys 1.6.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alma communicator,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dragonfly ..............................................................................................................................................................................,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sig15,0.0,1.0,0.0,0.0,0.0,0.0,0.0
miniduke,0.0,8.0,0.0,0.0,0.0,0.0,0.0
mimikatz,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dust storm,40.0,0.0,0.0,1.0,1.0,1.0,1.0
xtunnel,0.0,1.0,0.0,0.0,0.0,0.0,0.0
icedcoffee,0.0,1.0,0.0,0.0,0.0,0.0,0.0
grayfish,0.0,1.0,0.0,0.0,0.0,0.0,0.0
muddywater,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cain &,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-0110,4.0,0.0,1.0,0.8,1.0,0.888888888888889,0.8
ncsc,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hidden cobra,69.0,0.0,0.0,1.0,1.0,1.0,1.0
iron liberty,0.0,1.0,0.0,0.0,0.0,0.0,0.0
deep panda,195.0,0.0,0.0,1.0,1.0,1.0,1.0
comment group,7.0,0.0,0.0,1.0,1.0,1.0,1.0
source,0.0,5.0,0.0,0.0,0.0,0.0,0.0
poseidon group,23.0,0.0,0.0,1.0,1.0,1.0,1.0
espionage projectsauron,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8dd23e0a,0.0,1.0,0.0,0.0,0.0,0.0,0.0
further,0.0,4.0,0.0,0.0,0.0,0.0,0.0
the projectsauron,0.0,3.0,0.0,0.0,0.0,0.0,0.0
red apollo,7.0,0.0,0.0,1.0,1.0,1.0,1.0
black vine,110.0,0.0,1.0,0.990990990990991,1.0,0.9954751131221719,0.990990990990991
tg-2889,5.0,0.0,0.0,1.0,1.0,1.0,1.0
apt40,0.0,2.0,0.0,0.0,0.0,0.0,0.0
strontium,0.0,0.0,10.0,0.0,0.0,0.0,0.0
threat group-0110,0.0,0.0,1.0,0.0,0.0,0.0,0.0
http[://85[.104[.59[.244:20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt16,14.0,0.0,0.0,1.0,1.0,1.0,1.0
wizard spider,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hidden lynx,0.0,13.0,0.0,0.0,0.0,0.0,0.0
red october,0.0,3.0,0.0,0.0,0.0,0.0,0.0
research team,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elmer backdoor,0.0,1.0,0.0,0.0,0.0,0.0,0.0
620a669ec0451c9f079f‐,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tg-4192,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sakula ■,0.0,1.0,0.0,0.0,0.0,0.0,0.0
deputy dog,8.0,0.0,0.0,1.0,1.0,1.0,1.0
tg-4127,2.0,0.0,0.0,1.0,1.0,1.0,1.0
sig43,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tailgater team,0.0,10.0,0.0,0.0,0.0,0.0,0.0
comment panda,11.0,0.0,0.0,1.0,1.0,1.0,1.0
chen ping,0.0,2.0,0.0,0.0,0.0,0.0,0.0
execution,0.0,1.0,0.0,0.0,0.0,0.0,0.0
psexec,0.0,1.0,0.0,0.0,0.0,0.0,0.0
guardians of peace,0.0,0.0,11.0,0.0,0.0,0.0,0.0
winnti (,0.0,1.0,0.0,0.0,0.0,0.0,0.0
plugx's,0.0,1.0,0.0,0.0,0.0,0.0,0.0
