,tp,fp,fn,recall,precision,f1,acc
monsoon,81.0,0.0,1.0,0.9878048780487805,1.0,0.9938650306748467,0.9878048780487805
comment panda,11.0,0.0,0.0,1.0,1.0,1.0,1.0
●,0.0,1.0,0.0,0.0,0.0,0.0,0.0
putter panda[6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rtm,11.0,0.0,1.0,0.9166666666666666,1.0,0.9565217391304348,0.9166666666666666
apt2,1.0,0.0,0.0,1.0,1.0,1.0,1.0
,0.0,22.0,0.0,0.0,0.0,0.0,0.0
projectsauron,225.0,0.0,2.0,0.9911894273127754,1.0,0.9955752212389382,0.9911894273127754
red apollo-002,0.0,2.0,0.0,0.0,0.0,0.0,0.0
による侵入後、永続的なバックドアとして以下のツールを使用,0.0,1.0,0.0,0.0,0.0,0.0,0.0
章では合わせて、過去の,0.0,1.0,0.0,0.0,0.0,0.0,0.0
活动记录,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oceanlotus group,27.0,0.0,1.0,0.9642857142857143,1.0,0.9818181818181818,0.9642857142857143
naikon,362.0,0.0,0.0,1.0,1.0,1.0,1.0
本節では、今回取得した,0.0,1.0,0.0,0.0,0.0,0.0,0.0
operation molerats,2.0,0.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666
には検知を回避する複数の手法が用いられていた,0.0,1.0,0.0,0.0,0.0,0.0,0.0
—,0.0,57.0,0.0,0.0,0.0,0.0,0.0
energetic bear,57.0,0.0,0.0,1.0,1.0,1.0,1.0
winnti is,0.0,1.0,0.0,0.0,0.0,0.0,0.0
venomous bear,0.0,1.0,0.0,0.0,0.0,0.0,0.0
本章では、標的型メール攻撃の起点から,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cvnx,4.0,0.0,4.0,0.5,1.0,0.6666666666666666,0.5
组织和,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lotus panda,0.0,2.0,0.0,0.0,0.0,0.0,0.0
博御信息,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kungfu kittens,2.0,0.0,3.0,0.4,1.0,0.5714285714285715,0.4
–,0.0,259.0,0.0,0.0,0.0,0.0,0.0
---pittytiger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
この節では、過去に他社が公開した,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wicked panda,0.0,1.0,0.0,0.0,0.0,0.0,0.0
�,0.0,216.0,0.0,0.0,0.0,0.0,0.0
deputy dog,7.0,0.0,1.0,0.875,1.0,0.9333333333333333,0.875
による一連の攻撃活動を観測しました。本レポートでは、当該攻撃活動に,0.0,1.0,0.0,0.0,0.0,0.0,0.0
molerats,56.0,1.0,0.0,1.0,0.9824561403508771,0.9911504424778761,1.0
mimikatz,0.0,2.0,0.0,0.0,0.0,0.0,0.0
