,tp,fp,fn,recall,precision,f1,acc
cozy bear,14.0,0.0,0.0,1.0,1.0,1.0,1.0
tg-0110,3.0,0.0,0.0,1.0,1.0,1.0,1.0
dropping elephant,19.0,0.0,0.0,1.0,1.0,1.0,1.0
apt16,14.0,0.0,0.0,1.0,1.0,1.0,1.0
poison ivy,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dust storm,36.0,0.0,0.0,1.0,1.0,1.0,1.0
the dukes,143.0,0.0,0.0,1.0,1.0,1.0,1.0
pinkpanther,0.0,0.0,1.0,0.0,0.0,0.0,0.0
comment crew,44.0,0.0,0.0,1.0,1.0,1.0,1.0
winrar,0.0,2.0,0.0,0.0,0.0,0.0,0.0
pittytiger,29.0,0.0,20.0,0.5918367346938775,1.0,0.7435897435897436,0.5918367346938775
dynamite panda,1.0,0.0,1.0,0.5,1.0,0.6666666666666666,0.5
rtm,0.0,0.0,2.0,0.0,0.0,0.0,0.0
tsar team,5.0,0.0,3.0,0.625,1.0,0.7692307692307693,0.625
group 72,14.0,0.0,0.0,1.0,1.0,1.0,1.0
dragonfly,46.0,0.0,0.0,1.0,1.0,1.0,1.0
fancy bear,77.0,0.0,0.0,1.0,1.0,1.0,1.0
tg-3390,177.0,0.0,0.0,1.0,1.0,1.0,1.0
taidoor campaign,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sednit,396.0,0.0,3.0,0.9924812030075187,1.0,0.9962264150943396,0.9924812030075187
gcman,0.0,0.0,2.0,0.0,0.0,0.0,0.0
stealth falcon,15.0,0.0,0.0,1.0,1.0,1.0,1.0
sandworm group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
projectsauron,219.0,0.0,0.0,1.0,1.0,1.0,1.0
operation hangover,182.0,0.0,0.0,1.0,1.0,1.0,1.0
black vine,109.0,0.0,1.0,0.990909090909091,1.0,0.995433789954338,0.990909090909091
microso,0.0,1.0,0.0,0.0,0.0,0.0,0.0
poseidon group,16.0,0.0,0.0,1.0,1.0,1.0,1.0
moafee,25.0,0.0,0.0,1.0,1.0,1.0,1.0
kungfu kittens,0.0,0.0,1.0,0.0,0.0,0.0,0.0
webmasters,0.0,0.0,2.0,0.0,0.0,0.0,0.0
deep panda,189.0,0.0,0.0,1.0,1.0,1.0,1.0
pirpi,26.0,0.0,2.0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286
comment group,5.0,0.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143
apt2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
menupass,242.0,0.0,0.0,1.0,1.0,1.0,1.0
sofacy,187.0,0.0,0.0,1.0,1.0,1.0,1.0
ke3chang,93.0,0.0,1.0,0.9893617021276596,1.0,0.9946524064171123,0.9893617021276596
ixeshe,140.0,0.0,0.0,1.0,1.0,1.0,1.0
apt29,49.0,0.0,2.0,0.9607843137254902,1.0,0.98,0.9607843137254902
gothic panda,9.0,0.0,1.0,0.9,1.0,0.9473684210526316,0.9
night dragon,92.0,0.0,1.0,0.989247311827957,1.0,0.9945945945945946,0.989247311827957
strontium,17.0,0.0,0.0,1.0,1.0,1.0,1.0
tg-0416,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cobalt strike,0.0,2.0,0.0,0.0,0.0,0.0,0.0
apt18,26.0,0.0,0.0,1.0,1.0,1.0,1.0
axiom,88.0,0.0,0.0,1.0,1.0,1.0,1.0
oilrig,7.0,0.0,0.0,1.0,1.0,1.0,1.0
msupdater,6.0,0.0,1.0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571
gaza group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
control service,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apt10,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cleaver,158.0,0.0,2.0,0.9875,1.0,0.9937106918238994,0.9875
the hangover,0.0,1.0,0.0,0.0,0.0,0.0,0.0
emissary panda,6.0,0.0,2.0,0.75,1.0,0.8571428571428571,0.75
strider,14.0,0.0,0.0,1.0,1.0,1.0,1.0
winnti group,10.0,0.0,0.0,1.0,1.0,1.0,1.0
carbanak,257.0,0.0,1.0,0.9961240310077519,1.0,0.9980582524271845,0.9961240310077519
credential logger,0.0,2.0,0.0,0.0,0.0,0.0,0.0
guardians of peace,0.0,0.0,9.0,0.0,0.0,0.0,0.0
памятные,0.0,2.0,0.0,0.0,0.0,0.0,0.0
anunak,16.0,0.0,1.0,0.9411764705882353,1.0,0.9696969696969697,0.9411764705882353
molerats,30.0,3.0,2.0,0.9375,0.9090909090909091,0.923076923076923,0.9375
operation molerats,0.0,0.0,3.0,0.0,0.0,0.0,0.0
apt30,211.0,0.0,0.0,1.0,1.0,1.0,1.0
darkhotel,64.0,0.0,0.0,1.0,1.0,1.0,1.0
equation group,0.0,1.0,0.0,0.0,0.0,0.0,0.0
buckeye,24.0,0.0,0.0,1.0,1.0,1.0,1.0
lotus blossom,95.0,0.0,2.0,0.979381443298969,1.0,0.9895833333333333,0.979381443298969
apt28,262.0,0.0,0.0,1.0,1.0,1.0,1.0
chinastrats,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stone panda,12.0,0.0,1.0,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231
apt17,20.0,0.0,0.0,1.0,1.0,1.0,1.0
comment panda,11.0,0.0,0.0,1.0,1.0,1.0,1.0
ups team,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gaza cybergang,14.0,0.0,0.0,1.0,1.0,1.0,1.0
apt1,559.0,0.0,1.0,0.9982142857142857,1.0,0.9991063449508489,0.9982142857142857
